Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
1970/02/01 00:00:02,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,2678402,0,0,0,0,
1970/02/01 00:00:12,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,2678412,0,0,0,0,
1970/02/01 00:00:22,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,2678422,0,0,0,0,
1970/02/01 00:00:41,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,2678441,0,0,0,0,
1970/02/01 00:00:51,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,2678451,0,0,0,0,
1970/02/01 00:01:01,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,2678461,0,0,0,0,
1970/02/01 00:01:20,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,2678480,0,0,0,0,
1970/02/01 00:01:30,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,2678490,0,0,0,0,
1970/02/01 00:01:40,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,2678500,0,0,0,0,
1970/02/01 00:01:59,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,2678519,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
1970/02/01 00:02:16,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,2678536,0,0,0,0,
1970/02/01 00:02:26,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,2678546,0,0,0,0,
1970/02/01 00:02:36,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,2678556,0,0,0,0,
1970/02/01 00:02:55,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,2678575,0,0,0,0,
